TIPO;INSTANCIA;NAIVE1;TEMPO1;NAIVE2;TEMPO2;NAIVE3;TEMPO3;NAIVE4;TEMPO4;NAIVE5;TEMPO5;

simetrico;INST-A-10-3;0;0;1172;0.38;0;0;1172;0.015;545.917;0.017;
simetrico;INST-A-10-4;0;0;971.833;0.364;0;0;971.833;0.009;934.583;0.01;
simetrico;INST-A-10-5;0;0;1018.75;0.38;0;0;738.167;0.009;518.733;0.013;
simetrico;INST-A-20-3;0;0;1426;1.313;0;0;1214.5;0.014;1028.5;0.016;
simetrico;INST-A-20-4;0;0;479.333;1.237;0;0;616.833;0.027;616.833;0.028;
simetrico;INST-A-20-5;0;0;692;1.841;0;0;769.733;0.019;540.833;0.024;
simetrico;INST-A-30-3;0;0;892.25;2.604;0;0;2028.83;0.03;1946.08;0.034;
simetrico;INST-A-30-4;0;0;1154;3.767;0;0;1362.83;0.025;1016.93;0.028;
simetrico;INST-A-30-5;0;0;819.833;4.103;0;0;1237.6;0.037;861.2;0.053;
simetrico;INST-A-40-3;0;0;1233.67;15.901;0;0;1746.92;0.047;1690.83;0.051;
simetrico;INST-A-40-4;0;0;1277.83;8.053;0;0;1739.83;0.053;1129.77;0.065;
simetrico;INST-A-40-5;0;0;951.05;11.16;0;0;768.2;0.05;736.9;0.06;
simetrico;INST-A-50-3;0;0;1812;28.975;0;0;1501.33;0.064;1515;0.07;
simetrico;INST-A-50-4;0;0;1415.33;26.633;0;0;2133.17;0.063;1559.8;0.074;
simetrico;INST-A-50-5;0;0;1967.33;22.259;0;0;1522.22;0.062;914.783;0.095;
simetrico;INST-B-10-3;0;0;1105;0.479;0;0;834.667;0.021;834.667;0.023;
simetrico;INST-B-10-4;0;0;1011.25;0.465;0;0;649;0.026;493.583;0.03;
simetrico;INST-B-10-5;0;0;1208.5;0.381;0;0;1428;0.028;851.9;0.032;
simetrico;INST-B-20-3;0;0;1313;1.093;0;0;1371;0.046;1351.83;0.048;
simetrico;INST-B-20-4;0;0;1485.5;1.402;0;0;1452.33;0.023;1396.33;0.023;
simetrico;INST-B-20-5;0;0;1246.5;1.615;0;0;1192.67;0.016;1003.37;0.018;
simetrico;INST-B-30-3;0;0;1291.67;3.791;0;0;1740.67;0.037;1313.83;0.041;
simetrico;INST-B-30-4;0;0;1195;3.188;0;0;1980.5;0.026;1780.67;0.032;
simetrico;INST-B-30-5;0;0;1019.17;1.977;0;0;1460.42;0.044;1060.22;0.058;
simetrico;INST-B-40-3;0;0;1395.83;10.672;0;0;1552.33;0.051;1500.25;0.053;
simetrico;INST-B-40-4;0;0;1574.08;11.125;0;0;2492.5;0.05;2146.27;0.064;
simetrico;INST-B-40-5;0;0;1206.98;12.289;0;0;2099.83;0.045;1807.27;0.053;
simetrico;INST-B-50-3;0;0;2160.33;31.384;0;0;2255.25;0.056;2022;0.07;
simetrico;INST-B-50-4;0;0;1644.55;35.282;0;0;3166.17;0.058;1692.4;0.08;
simetrico;INST-B-50-5;0;0;1320.75;21.632;0;0;2254.08;0.061;1620.97;0.083;
simetrico;INST-C-10-3;0;0;612.5;0.267;0;0;612.5;0.007;648.75;0.008;
simetrico;INST-C-10-4;0;0;571.25;0.307;0;0;496.25;0.005;496.25;0.006;
simetrico;INST-C-10-5;0;0;504.333;0.332;0;0;563.033;0.007;563.033;0.008;
simetrico;INST-C-20-3;0;0;1067.92;1.243;0;0;972;0.019;911.75;0.02;
simetrico;INST-C-20-4;0;0;872.4;1.123;0;0;1225.62;0.02;1028.8;0.025;
simetrico;INST-C-20-5;0;0;953.1;1.091;0;0;1129;0.013;1108.1;0.016;
simetrico;INST-C-30-3;0;0;1429.75;4.788;0;0;1626.42;0.025;1163.08;0.029;
simetrico;INST-C-30-4;0;0;1059.65;3.157;0;0;1387.67;0.025;1498.45;0.028;
simetrico;INST-C-30-5;0;0;965.8;3.824;0;0;1044.07;0.037;702.833;0.042;
simetrico;INST-C-40-3;0;0;1674.25;18.188;0;0;1214.92;0.041;1116.08;0.054;
simetrico;INST-C-40-4;0;0;1181.4;8.87;0;0;1437.8;0.055;1370.6;0.06;
simetrico;INST-C-40-5;0;0;960.5;9.562;0;0;1314.67;0.043;1138.83;0.068;
simetrico;INST-C-50-3;0;0;1468.75;26.109;0;0;1953.75;0.09;1623.92;0.102;
simetrico;INST-C-50-4;0;0;1440.65;44.024;0;0;2100.25;0.065;1727.3;0.076;
simetrico;INST-C-50-5;0;0;1517.1;18.174;0;0;2046.18;0.059;2074.9;0.118;


assimetrico;INST-A-10-3;0;0;823;0.391;0;0;823;0.018;823;0.019;
assimetrico;INST-A-10-4;0;0;1044.5;0.299;0;0;1044.5;0.007;523.567;0.008;
assimetrico;INST-A-10-5;0;0;934.5;0.258;0;0;934.5;0.006;720.5;0.007;
assimetrico;INST-A-20-3;0;0;930.167;1.016;0;0;837.667;0.032;771.25;0.036;
assimetrico;INST-A-20-4;0;0;955;0.978;0;0;1352;0.02;878.833;0.021;
assimetrico;INST-A-20-5;0;0;618.917;1.071;0;0;1113;0.033;889.267;0.035;
assimetrico;INST-A-30-3;0;0;1095.33;2.63;0;0;1299.67;0.026;1585.83;0.031;
assimetrico;INST-A-30-4;0;0;792.8;3.145;0;0;1179.03;0.023;1143.9;0.034;
assimetrico;INST-A-30-5;0;0;1243.67;3.347;0;0;1516;0.022;1089.55;0.032;
assimetrico;INST-A-40-3;0;0;1258.58;7.433;0;0;2126.83;0.057;1539.75;0.084;
assimetrico;INST-A-40-4;0;0;1283.33;7.396;0;0;1494.4;0.036;1266.55;0.05;
assimetrico;INST-A-40-5;0;0;1212.5;7.951;0;0;1166.97;0.052;806.783;0.073;
assimetrico;INST-A-50-3;0;0;2072.17;17.632;0;0;3683;0.061;4034.75;0.075;
assimetrico;INST-A-50-4;0;0;1725.5;19.279;0;0;2763.73;0.067;1800.93;0.087;
assimetrico;INST-A-50-5;0;0;1693.33;16.79;0;0;2101.65;0.054;2030.98;0.083;
assimetrico;INST-B-10-3;0;0;947;0.283;0;0;947;0.013;901.833;0.016;
assimetrico;INST-B-10-4;0;0;814;0.315;0;0;814;0.006;547.667;0.007;
assimetrico;INST-B-10-5;0;0;786.333;0.299;0;0;786.333;0.011;681.667;0.013;
assimetrico;INST-B-20-3;0;0;1177.5;0.878;0;0;1376.33;0.028;1342.33;0.031;
assimetrico;INST-B-20-4;0;0;1390;1.05;0;0;1579;0.017;1415.67;0.019;
assimetrico;INST-B-20-5;0;0;1361;0.984;0;0;1559.5;0.013;1365.5;0.014;
assimetrico;INST-B-30-3;0;0;1627.17;3.43;0;0;2258.5;0.04;1945.67;0.048;
assimetrico;INST-B-30-4;0;0;1491;2.85;0;0;2299.5;0.022;1840.17;0.031;
assimetrico;INST-B-30-5;0;0;1274.5;2.64;0;0;2322.42;0.038;1403.27;0.051;
assimetrico;INST-B-40-3;0;0;1654.83;8.155;0;0;2410.58;0.05;2269.25;0.06;
assimetrico;INST-B-40-4;0;0;1534.67;8.293;0;0;3019.25;0.036;2717.75;0.043;
assimetrico;INST-B-40-5;0;0;1918.5;9.87;0;0;2890.67;0.039;1945.62;0.06;
assimetrico;INST-B-50-3;0;0;2381.33;22.174;0;0;4709;0.071;3137;0.089;
assimetrico;INST-B-50-4;0;0;2081;18.271;0;0;2724.53;0.053;2483.67;0.089;
assimetrico;INST-B-50-5;0;0;2565;20.527;0;0;3428.33;0.062;3047.85;0.094;
assimetrico;INST-C-10-3;0;0;546.333;0.438;0;0;485.417;0.012;485.417;0.015;
assimetrico;INST-C-10-4;0;0;463.2;0.192;0;0;463.2;0.006;450.3;0.008;
assimetrico;INST-C-10-5;0;0;595.25;0.321;0;0;710.75;0.006;710.75;0.007;
assimetrico;INST-C-20-3;0;0;877.333;1.07;0;0;1228.17;0.02;982.333;0.023;
assimetrico;INST-C-20-4;0;0;999.4;1.286;0;0;1205.1;0.034;1019.98;0.037;
assimetrico;INST-C-20-5;0;0;920.217;1.211;0;0;1130.45;0.038;1130.45;0.038;
assimetrico;INST-C-30-3;0;0;1035;2.694;0;0;1949.25;0.039;1621.92;0.043;
assimetrico;INST-C-30-4;0;0;1188.23;3.784;0;0;1489.62;0.043;1429.3;0.058;
assimetrico;INST-C-30-5;0;0;968.233;3.488;0;0;1268.72;0.042;1090.68;0.083;
assimetrico;INST-C-40-3;0;0;1230.42;8.202;0;0;2164.25;0.035;1781.83;0.049;
assimetrico;INST-C-40-4;0;0;1395.55;8.34;0;0;2006.23;0.062;1676.87;0.101;
assimetrico;INST-C-40-5;0;0;1127.72;8.383;0;0;2202.97;0.053;1243.75;0.128;
assimetrico;INST-C-50-3;0;0;1528.67;19;0;0;2184.25;0.063;2115.17;0.079;
assimetrico;INST-C-50-4;0;0;1764.33;18.283;0;0;3018.6;0.064;2582.6;0.114;
assimetrico;INST-C-50-5;0;0;723.9;18.275;0;0;2105.9;0.054;1760.5;0.122;




simetrico;INST-A-100-3;0;0;0;0;0;0;3739.83;0.189;2898.5;0.224;
simetrico;INST-A-100-4;0;0;0;0;0;0;2247.72;0.189;1848.58;0.231;
simetrico;INST-A-100-5;0;0;0;0;0;0;2184.95;0.185;1634.38;0.264;
simetrico;INST-A-200-3;0;0;0;0;0;0;4402;0.666;4084.58;0.851;
simetrico;INST-A-200-4;0;0;0;0;0;0;3837.03;0.661;3062.8;1.076;
simetrico;INST-A-200-5;0;0;0;0;0;0;4390.17;0.644;3582.15;0.737;
simetrico;INST-B-100-3;0;0;0;0;0;0;3948.67;0.179;3548.17;0.198;
simetrico;INST-B-100-4;0;0;0;0;0;0;4590.67;0.177;3413.75;0.189;
simetrico;INST-B-100-5;0;0;0;0;0;0;2425.72;0.188;1778.53;0.288;
simetrico;INST-B-200-3;0;0;0;0;0;0;5224;0.651;4098;0.859;
simetrico;INST-B-200-4;0;0;0;0;0;0;3715.62;0.676;3465.78;1.281;
simetrico;INST-B-200-5;0;0;0;0;0;0;5799.1;0.689;2935.52;1.117;


assimetrico;INST-A-100-3;0;0;0;0;0;0;5140.5;0.211;3185;0.504;
assimetrico;INST-A-100-4;0;0;0;0;0;0;4142.23;0.217;3320.9;0.303;
assimetrico;INST-A-100-5;0;0;0;0;0;0;3222.02;0.207;2502.8;0.457;
assimetrico;INST-A-200-3;0;0;0;0;0;0;6279.83;1.068;6121.92;4.4;
assimetrico;INST-A-200-4;0;0;0;0;0;0;6710.75;1.014;5252.67;3.349;
assimetrico;INST-A-200-5;0;0;0;0;0;0;3988.88;1.019;3775.77;11.705;
assimetrico;INST-B-100-3;0;0;0;0;0;0;5144.42;0.209;4267.92;0.408;
assimetrico;INST-B-100-4;0;0;0;0;0;0;3602.68;0.211;3315.77;0.553;
assimetrico;INST-B-100-5;0;0;0;0;0;0;3761.15;0.21;3761.15;0.45;
assimetrico;INST-B-200-3;0;0;0;0;0;0;9448.75;1.033;7999.42;3.512;
assimetrico;INST-B-200-4;0;0;0;0;0;0;7759.43;1.019;6004.88;4.666;
assimetrico;INST-B-200-5;0;0;0;0;0;0;4927.37;1.029;4413.57;7.653;




simetrico;INST-C-100-3;0;0;0;0;0;0;2887.92;0.196;2300.25;0.223;
simetrico;INST-C-100-4;0;0;0;0;0;0;2298.8;0.19;1574;0.251;
simetrico;INST-C-100-5;0;0;0;0;0;0;2063.5;0.179;1651.98;0.209;
simetrico;INST-C-200-3;0;0;0;0;0;0;4237.25;0.638;3673;0.961;
simetrico;INST-C-200-4;0;0;0;0;0;0;3819.45;0.639;3145.2;0.723;
simetrico;INST-C-200-5;0;0;0;0;0;0;2372;0.667;2330.17;1.435;


assimetrico;INST-C-100-3;0;0;0;0;0;0;4255.17;0.213;3346.75;0.466;
assimetrico;INST-C-100-4;0;0;0;0;0;0;4434.55;0.21;3883.15;0.432;
assimetrico;INST-C-100-5;0;0;0;0;0;0;3061.67;0.209;2138;0.788;
assimetrico;INST-C-200-3;0;0;0;0;0;0;6553.75;1.026;5938.83;5.257;
assimetrico;INST-C-200-4;0;0;0;0;0;0;6458.45;1.029;5037.18;6.488;
assimetrico;INST-C-200-5;0;0;0;0;0;0;4484.33;1.028;4045.73;7.99;




simetrico;INST-A-500-3;0;0;0;0;0;0;7994.17;4.118;7771.58;15.275;


assimetrico;INST-A-500-3;0;0;0;0;0;0;16613.4;11.386;15037.7;53.121;




simetrico;INST-B-500-3;0;0;0;0;0;0;8827.75;4.208;7915.25;11.842;


assimetrico;INST-B-500-3;0;0;0;0;0;0;18131.8;11.488;15587.8;189.708;




simetrico;INST-C-500-3;0;0;0;0;0;0;8071;4.152;7524.58;11.31;


assimetrico;INST-C-500-3;0;0;0;0;0;0;14455.5;11.559;13580.3;176.889;




simetrico;INST-A-500-4;0;0;0;0;0;0;6680.8;4.519;6090.4;45.856;


assimetrico;INST-A-500-4;0;0;0;0;0;0;12934.7;11.433;12480.8;126.934;




simetrico;INST-B-500-4;0;0;0;0;0;0;6921.38;4.252;6414.02;15.427;


assimetrico;INST-B-500-4;0;0;0;0;0;0;12636.6;11.425;12055;613.321;




simetrico;INST-C-500-4;0;0;0;0;0;0;6377.48;3.909;6167.82;6.982;


assimetrico;INST-C-500-4;0;0;0;0;0;0;11749.5;11.524;11099.1;781.759;




simetrico;INST-A-500-5;0;0;0;0;0;0;6431.93;4.422;5562.35;6.33;


assimetrico;INST-A-500-5;0;0;0;0;0;0;9392.3;14.94;9011.07;361.661;




simetrico;INST-B-500-5;0;0;0;0;0;0;6802.53;4.628;5546.78;14.511;


assimetrico;INST-B-500-5;0;0;0;0;0;0;10181.8;12.346;9840.28;676.179;




simetrico;INST-C-500-5;0;0;0;0;0;0;5793.27;5.475;5219.33;31.64;


assimetrico;INST-C-500-5;0;0;0;0;0;0;9921.12;13.79;9406.67;365.03;



simetrico;INST-A-100-3.txt;0;0;3360.67;461.031;0;0;3804.75;0.365;2957.17;0.394;
simetrico;INST-A-100-4.txt;0;0;2149.47;398.554;0;0;2111.67;0.221;1903.78;0.308;
simetrico;INST-A-100-5.txt;0;0;2236.08;273.247;0;0;2602.55;0.187;1725.48;0.324;
simetrico;INST-B-100-3.txt;0;0;2878.67;272.478;0;0;5205.5;0.257;3885;0.277;
simetrico;INST-B-100-4.txt;0;0;3522.67;361.545;0;0;4418.67;0.257;3594.17;0.278;
simetrico;INST-B-100-5.txt;0;0;2645.75;775.245;0;0;2702.4;0.201;1885.05;0.301;
simetrico;INST-C-100-3.txt;0;0;2400.83;418.498;0;0;3234.08;0.239;2611.83;0.274;
simetrico;INST-C-100-4.txt;0;0;1591.6;357.692;0;0;1759.8;0.246;1592.45;0.335;
simetrico;INST-C-100-5.txt;0;0;1416.92;418.22;0;0;2841.75;0.239;2058.75;0.275;
assimetrico;INST-A-100-3.txt;0;0;3411.5;308.622;0;0;3334;0.304;2939.17;0.714;
assimetrico;INST-A-100-4.txt;0;0;2671.17;283.044;0;0;3134.87;0.236;2931.58;0.35;
assimetrico;INST-A-100-5.txt;0;0;2753.5;269.35;0;0;4528.37;0.287;2449.52;0.592;
assimetrico;INST-B-100-3.txt;0;0;3455.67;359.018;0;0;7557.33;0.217;4866.58;0.418;
assimetrico;INST-B-100-4.txt;0;0;2831.58;323.676;0;0;4849.93;0.207;3477.38;0.55;
assimetrico;INST-B-100-5.txt;0;0;3157.2;251.683;0;0;5276.35;0.239;4632.73;0.489;
assimetrico;INST-C-100-3.txt;0;0;1933.83;251.066;0;0;3644.75;0.207;3268.92;0.427;
assimetrico;INST-C-100-4.txt;0;0;2712.7;274.447;0;0;4417.6;0.209;4137.1;0.383;
assimetrico;INST-C-100-5.txt;0;0;2332.27;623.259;0;0;2986;0.213;2330.77;0.887;
